Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
A&M-Corpus Christi,Southland,42,0.281,0.38,295,"1,430",402,86,20,648,40,267,171,69,20,13,369,29,15,9,46,4,
Abilene Christian,WAC,40,0.294,0.398,292,"1,372",403,84,9,676,57,277,185,60,10,6,350,24,18,6,47,3,
Air Force,Mountain West,41,0.304,0.389,331,"1,477",449,97,10,734,56,305,149,68,19,11,327,35,11,4,31,2,
Akron,MAC,40,0.245,0.337,165,"1,238",303,53,9,419,15,147,148,31,12,22,311,18,12,6,35,2,
Alabama,SEC,42,0.284,0.364,237,"1,444",410,74,7,645,49,224,152,39,15,10,324,24,7,6,29,5,
Alabama A&M,SWAC,34,0.247,0.34,169,"1,067",264,39,13,389,20,147,121,32,5,19,311,20,28,9,70,1,
Alabama St.,SWAC,38,0.285,0.399,288,"1,286",367,59,8,517,25,244,190,63,13,23,318,22,15,7,36,1,
Alcorn,SWAC,27,0.205,0.279,82,741,152,20,5,209,9,76,50,27,4,2,231,14,12,5,24,,
App State,Sun Belt,38,0.255,0.342,198,"1,319",336,61,7,468,19,182,134,49,14,11,315,25,9,6,23,4,
Arizona,Pac-12,42,0.291,0.385,300,"1,503",438,83,21,701,46,276,194,43,13,5,382,35,7,,29,9,
Arizona St.,Pac-12,42,0.294,0.381,285,"1,486",437,99,10,700,48,257,175,44,18,9,304,34,10,8,32,4,
Ark.-Pine Bluff,SWAC,36,0.285,0.38,226,"1,121",319,69,13,474,20,201,147,38,21,9,276,18,22,6,74,,
Arkansas,SEC,41,0.281,0.39,304,"1,382",389,83,10,672,60,282,214,43,18,10,321,27,5,2,38,8,
Arkansas St.,Sun Belt,36,0.236,0.341,163,"1,172",277,41,4,395,23,148,163,32,17,18,314,29,4,1,12,2,
Army West Point,Patriot,39,0.288,0.382,252,"1,318",380,69,7,535,24,220,174,37,19,17,292,29,14,6,66,4,
Auburn,SEC,42,0.296,0.4,311,"1,455",430,83,7,656,43,290,211,58,25,10,350,21,11,1,33,14,
Austin Peay,OVC,42,0.299,0.391,295,"1,460",437,101,2,653,37,263,188,42,17,18,314,46,12,4,40,13,
Ball St.,MAC,39,0.276,0.38,262,"1,249",345,56,16,562,43,241,171,50,18,6,246,24,15,3,38,6,
Baylor,Big 12,41,0.269,0.37,256,"1,400",376,71,10,551,28,232,186,50,19,20,309,23,9,2,27,4,
Bellarmine,ASUN,40,0.269,0.356,221,"1,359",366,75,4,566,39,200,154,35,13,11,348,36,9,7,42,6,
Belmont,OVC,41,0.285,0.37,247,"1,370",390,70,12,589,35,222,162,33,17,8,303,22,14,9,77,4,
Bethune-Cookman,SWAC,40,0.228,0.345,192,"1,298",296,56,9,412,14,155,189,52,16,26,377,22,24,8,72,1,
Binghamton,America East,34,0.256,0.344,165,"1,181",302,60,1,442,26,151,141,23,9,18,294,22,8,6,25,1,
Boston College,ACC,42,0.265,0.367,267,"1,461",387,75,8,643,55,240,173,72,15,20,392,27,9,7,27,1,
Bowling Green,MAC,37,0.293,0.378,232,"1,213",355,72,12,571,40,218,128,43,9,25,318,12,14,6,64,1,
Bradley,MVC,34,0.274,0.374,216,"1,154",316,59,6,492,35,201,146,48,15,24,317,25,12,,20,6,
Brown,Ivy League,30,0.235,0.332,144,"1,007",237,36,7,362,25,122,122,28,9,5,343,17,18,8,37,3,
Bryant,NEC,38,0.269,0.368,250,"1,303",351,78,10,539,30,222,145,69,17,7,346,30,14,2,55,,
Bucknell,Patriot,39,0.279,0.374,239,"1,321",369,73,13,510,14,217,168,40,14,9,306,20,6,7,30,1,
Butler,Big East,42,0.248,0.346,215,"1,398",347,64,5,502,27,191,162,54,11,23,349,17,20,10,59,,
BYU,WCC,38,0.263,0.354,222,"1,287",339,71,13,547,37,208,141,47,14,7,316,32,6,5,21,2,
Cal Poly,Big West,40,0.278,0.372,245,"1,380",383,86,7,573,30,228,188,33,21,13,295,32,8,1,4,19,
Cal St. Fullerton,Big West,37,0.286,0.358,187,"1,296",371,66,9,518,21,167,123,29,13,17,298,35,13,4,26,6,
California,Pac-12,40,0.282,0.373,267,"1,404",396,83,12,662,53,246,188,29,22,8,334,22,13,3,27,7,
