Institution,Conference,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPts,ORebs,DRebs,TotReb,AvgReb,AST,TO,STL,BLK,PF,G,DQ,TechFouls
A&M-Corpus Christi,Southland,5825:00:00,661,"1,647",40.13,94,375,25.07,428,608,70.39,"1,844",63.59,396,768,"1,164",40.14,430,519,297,94,506,29,5,
Abilene Christian,WAC,6000:00:00,766,"1,773",43.2,287,811,35.39,397,524,75.76,"2,216",73.87,343,678,"1,021",34.03,483,430,230,59,479,30,7,4
Air Force,Mountain West,6647:03:00,766,"2,026",37.81,165,565,29.2,336,459,73.2,"2,033",61.61,412,726,"1,138",34.48,422,439,363,66,588,33,9,1
Akron,MAC,5800:00:00,716,"1,682",42.57,174,543,32.04,341,487,70.02,"1,947",67.14,304,741,"1,045",36.03,417,439,211,107,447,29,4,2
Alabama,SEC,6873:40:00,841,"2,006",41.92,269,787,34.18,480,667,71.96,"2,431",71.5,397,853,"1,250",36.76,385,512,305,100,557,34,12,2
Alabama A&M,SWAC,5850:00:00,631,"1,673",37.72,92,359,25.63,376,538,69.89,"1,730",59.66,383,762,"1,145",39.48,331,466,186,136,494,29,4,2
Alabama St.,SWAC,6029:57:00,682,"1,762",38.71,130,443,29.35,416,607,68.53,"1,912",63.73,417,769,"1,186",39.53,411,610,211,118,627,30,8,7
Alcorn,SWAC,5024:59:00,462,"1,365",33.85,139,501,27.74,235,361,65.1,"1,298",51.92,244,535,779,31.16,247,478,170,44,525,25,15,5
American,Patriot,6450:00:00,718,"1,719",41.77,129,489,26.38,335,470,71.28,"1,900",59.38,272,751,"1,023",31.97,451,506,266,76,492,32,7,
App State,Sun Belt,5300:00:00,642,"1,588",40.43,204,723,28.22,297,467,63.6,"1,785",68.65,290,696,986,37.92,329,508,244,68,467,26,6,2
Arizona,Pac-12,5850:00:00,721,"1,677",42.99,180,539,33.4,327,466,70.17,"1,949",67.21,302,643,945,32.59,408,372,300,113,499,29,4,3
Arizona St.,Pac-12,5249:57:00,582,"1,506",38.65,163,531,30.7,318,428,74.3,"1,645",63.27,344,611,955,36.73,334,384,188,97,460,26,7,3
Ark.-Pine Bluff,SWAC,5800:00:00,700,"1,802",38.85,155,550,28.18,433,620,69.84,"1,988",68.55,398,789,"1,187",40.93,402,454,231,90,509,29,8,3
Arkansas,SEC,6450:00:00,833,"2,041",40.81,258,810,31.85,431,642,67.13,"2,355",73.59,359,851,"1,210",37.81,400,356,237,160,524,32,9,1
Arkansas St.,Sun Belt,5600:00:00,776,"1,842",42.13,208,627,33.17,413,572,72.2,"2,173",77.61,383,724,"1,107",39.54,405,416,257,59,548,28,11,3
Army West Point,Patriot,5875:00:00,674,"1,791",37.63,199,682,29.18,294,434,67.74,"1,841",63.48,426,761,"1,187",40.93,326,500,192,71,468,29,6,
Auburn,SEC,5625:00:00,648,"1,677",38.64,110,386,28.5,378,570,66.32,"1,784",63.71,353,662,"1,015",36.25,314,419,237,96,519,28,12,2
Austin Peay,OVC,6643:26:00,792,"1,735",45.65,211,569,37.08,387,576,67.19,"2,182",66.12,314,788,"1,102",33.39,445,525,242,68,588,33,13,3
Ball St.,MAC,6650:00:00,868,"2,010",43.18,285,892,31.95,335,481,69.65,"2,356",71.39,310,859,"1,169",35.42,521,451,256,107,535,33,7,
Baylor,Big 12,7025:00:00,979,"2,136",45.83,233,678,34.37,486,669,72.65,"2,677",76.49,395,"1,000","1,395",39.86,617,445,230,136,517,35,9,6
Bellarmine,ASUN,5599:37:00,619,"1,635",37.86,189,583,32.42,275,383,71.8,"1,702",60.79,285,655,940,33.57,333,512,190,77,505,28,11,2
Belmont,OVC,6248:24:00,792,"1,837",43.11,265,813,32.6,306,445,68.76,"2,155",69.52,352,750,"1,102",35.55,479,394,276,130,456,31,6,
Bethune-Cookman,SWAC,5425:00:00,593,"1,560",38.01,98,354,27.68,335,525,63.81,"1,619",59.96,329,656,985,36.48,267,546,231,67,485,27,14,6
Binghamton,America East,5825:00:00,635,"1,616",39.29,142,497,28.57,256,350,73.14,"1,668",57.52,257,739,996,34.34,358,460,196,88,454,29,12,1
Boise St.,Mountain West,5825:00:00,681,"1,724",39.5,118,440,26.82,320,500,64,"1,800",62.07,374,793,"1,167",40.24,397,465,162,112,482,29,7,
Boston College,ACC,6625:00:00,893,"1,990",44.87,195,590,33.05,397,577,68.8,"2,378",72.06,426,817,"1,243",37.67,515,608,275,122,545,33,7,1
Boston U.,Patriot,6200:00:00,743,"1,758",42.26,192,565,33.98,259,390,66.41,"1,937",62.48,335,837,"1,172",37.81,376,500,184,137,466,31,10,2
Bowling Green,MAC,6625:00:00,869,"1,946",44.66,272,708,38.42,393,551,71.32,"2,403",72.82,305,837,"1,142",34.61,506,506,307,58,552,33,8,3
Bradley,MVC,5634:47:00,577,"1,581",36.5,201,626,32.11,293,429,68.3,"1,648",58.86,276,705,981,35.04,325,404,140,107,476,28,5,
Brown,Ivy League,5200:00:00,549,"1,489",36.87,158,580,27.24,217,320,67.81,"1,473",56.65,236,648,884,34,280,444,252,86,397,26,11,
Bryant,NEC,6400:00:00,672,"1,742",38.58,160,462,34.63,303,427,70.96,"1,807",56.47,366,789,"1,155",36.09,423,616,212,87,491,32,6,3
Bucknell,Patriot,6850:00:00,795,"1,909",41.64,178,533,33.4,361,511,70.65,"2,129",62.62,279,910,"1,189",34.97,446,419,240,108,467,34,4,1
Buffalo,MAC,6850:00:00,962,"2,247",42.81,196,604,32.45,457,627,72.89,"2,577",75.79,483,943,"1,426",41.94,507,478,327,132,485,34,12,5
Butler,Big East,5700:00:00,587,"1,509",38.9,158,601,26.29,224,328,68.29,"1,556",55.57,260,674,934,33.36,319,556,138,55,403,28,2,
BYU,WCC,6025:00:00,890,"1,914",46.5,216,653,33.08,318,421,75.53,"2,314",77.13,387,799,"1,186",39.53,593,394,297,138,475,30,3,1
Cal Poly,Big West,5075:56:00,553,"1,514",36.53,91,377,24.14,234,353,66.29,"1,431",57.24,288,665,953,38.12,306,397,149,50,466,25,8,
Cal St. Fullerton,Big West,5825:00:00,642,"1,600",40.12,124,462,26.84,341,494,69.03,"1,749",60.31,301,704,"1,005",34.66,358,465,218,83,502,29,13,
California,Pac-12,4855:54:00,579,"1,444",40.1,138,419,32.94,347,442,78.51,"1,643",68.46,303,596,899,37.46,322,364,204,105,439,24,8,3
California Baptist,WAC,6476:54:00,903,"2,035",44.37,281,907,30.98,332,486,68.31,"2,419",75.59,261,981,"1,242",38.81,610,481,302,140,569,32,11,5
Campbell,Big South,6248:11:00,720,"1,710",42.11,230,706,32.58,312,460,67.83,"1,982",63.94,349,734,"1,083",34.94,473,489,260,105,458,31,1,
Canisius,MAAC,6251:26:00,639,"1,734",36.85,251,780,32.18,264,401,65.84,"1,793",57.84,334,693,"1,027",33.13,314,556,198,102,479,31,8,1
Central Ark.,ASUN,5650:00:00,567,"1,505",37.67,58,234,24.79,317,458,69.21,"1,509",53.89,336,708,"1,044",37.29,287,511,183,61,477,28,13,1
Central Conn. St.,NEC,5200:00:00,561,"1,537",36.5,174,568,30.63,220,324,67.9,"1,516",58.31,294,600,894,34.38,266,416,161,102,439,26,9,3
Central Mich.,MAC,5800:00:00,626,"1,698",36.87,197,718,27.44,267,375,71.2,"1,716",59.17,310,735,"1,045",36.03,327,476,169,64,493,29,10,
Charleston So.,Big South,5799:25:00,542,"1,542",35.15,144,548,26.28,207,340,60.88,"1,435",49.48,245,713,958,33.03,304,622,193,98,508,29,13,
Charlotte,C-USA,6550:00:00,719,"1,833",39.23,157,545,28.81,428,593,72.18,"2,023",63.22,346,865,"1,211",37.84,370,472,209,147,490,32,8,
Chattanooga,SoCon,6100:00:00,646,"1,678",38.5,177,615,28.78,339,475,71.37,"1,808",60.27,274,741,"1,015",33.83,359,497,174,77,492,30,5,
Chicago St.,WAC,5448:00:00,555,"1,557",35.65,106,398,26.63,310,483,64.18,"1,526",56.52,348,613,961,35.59,224,498,221,89,583,27,16,
Cincinnati,AAC,5650:00:00,599,"1,600",37.44,134,451,29.71,342,474,72.15,"1,674",59.79,311,679,990,35.36,400,493,228,136,549,28,7,2
Clemson,ACC,6250:00:00,738,"1,888",39.09,144,525,27.43,377,533,70.73,"1,997",64.42,419,714,"1,133",36.55,326,512,279,106,548,31,16,3
Cleveland St.,Horizon,6025:00:00,715,"1,769",40.42,188,605,31.07,481,674,71.36,"2,099",69.97,416,815,"1,231",41.03,343,489,285,118,438,30,5,2
Coastal Carolina,Sun Belt,5203:08:00,690,"1,624",42.49,130,445,29.21,371,535,69.35,"1,881",72.35,434,759,"1,193",45.88,351,497,215,80,508,26,13,3
Col. of Charleston,CAA,6250:00:00,860,"2,152",39.96,225,773,29.11,377,501,75.25,"2,322",74.9,443,755,"1,198",38.65,447,409,356,124,468,31,9,1
Colgate,Patriot,6000:00:00,618,"1,622",38.1,144,500,28.8,237,315,75.24,"1,617",53.9,284,682,966,32.2,321,498,170,77,470,30,6,3
Colorado,Pac-12,6325:00:00,742,"1,796",41.31,178,593,30.02,373,545,68.44,"2,035",65.65,378,745,"1,123",36.23,437,438,331,112,539,31,5,3
Colorado St.,Mountain West,6625:00:00,834,"2,000",41.7,251,720,34.86,358,463,77.32,"2,277",69,235,"1,001","1,236",37.45,475,315,162,100,386,33,4,1
Columbia,Ivy League,6450:00:00,794,"1,931",41.12,246,787,31.26,362,575,62.96,"2,196",68.62,424,929,"1,353",42.28,521,556,237,129,542,32,12,1
Coppin St.,MEAC,5600:00:00,600,"1,666",36.01,150,572,26.22,410,583,70.33,"1,760",62.86,306,798,"1,104",39.43,304,424,211,95,449,28,6,3
Cornell,Ivy League,5025:00:00,485,"1,376",35.25,110,412,26.7,253,400,63.25,"1,333",53.32,342,567,909,36.36,316,466,184,86,417,25,14,2
Creighton,Big East,6650:00:00,911,"2,009",45.35,334,908,36.78,288,395,72.91,"2,444",74.06,345,842,"1,187",35.97,668,421,231,93,516,33,6,1
CSU Bakersfield,Big West,5063:04:00,542,"1,433",37.82,140,480,29.17,306,404,75.74,"1,530",61.2,285,589,874,34.96,272,365,180,62,459,25,6,1
CSUN,Big West,5700:00:00,579,"1,527",37.92,150,454,33.04,295,432,68.29,"1,603",57.25,268,644,912,32.57,301,463,290,57,515,28,14,
Dartmouth,Ivy League,5224:13:00,458,"1,435",31.92,139,540,25.74,167,263,63.5,"1,222",47,296,630,926,35.62,239,478,166,57,409,26,4,1
